"miR" "bone" "bone.marrow" "heart" "kidney" "ovary" "placenta" "salivary.gland"
"262" "hsa-miR-1914-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"263" "hsa-miR-1915-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"264" "hsa-miR-1915-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"265" "hsa-miR-192-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"266" "hsa-miR-192-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"267" "hsa-miR-193a-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"268" "hsa-miR-193a-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"269" "hsa-miR-193b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"270" "hsa-miR-193b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"271" "hsa-miR-194-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"272" "hsa-miR-194-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"273" "hsa-miR-195-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"274" "hsa-miR-195-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"275" "hsa-miR-196a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"276" "hsa-miR-196a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"277" "hsa-miR-196b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"278" "hsa-miR-196b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"279" "hsa-miR-197-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"280" "hsa-miR-1972" "?" "not on expr" "?" "?" "1" "?" "?"
"281" "hsa-miR-1976" "?" "not on expr" "?" "?" "1" "?" "?"
"282" "hsa-miR-198" "1" "not on expr" "1" "1" "1" "1" "1"
"283" "hsa-miR-199a-3p" "?" "not on expr" "1" "1" "1" "?" "1"
"284" "hsa-miR-199a-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"285" "hsa-miR-199b-3p" "1" "not on expr" "?" "?" "?" "?" "?"
"286" "hsa-miR-199b-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"287" "hsa-miR-19a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"288" "hsa-miR-19a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"289" "hsa-miR-19b-1-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"290" "hsa-miR-19b-2-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"291" "hsa-miR-19b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"292" "hsa-miR-200a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"293" "hsa-miR-200a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"294" "hsa-miR-200b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"295" "hsa-miR-200b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"296" "hsa-miR-200c-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"297" "hsa-miR-200c-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"298" "hsa-miR-202-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"299" "hsa-miR-202-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"300" "hsa-miR-203a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"301" "hsa-miR-203b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"302" "hsa-miR-204-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"303" "hsa-miR-204-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"304" "hsa-miR-205-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"305" "hsa-miR-205-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"306" "hsa-miR-2052" "?" "not on expr" "?" "?" "1" "?" "?"
"307" "hsa-miR-2053" "?" "not on expr" "?" "?" "1" "?" "?"
"308" "hsa-miR-2054" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"309" "hsa-miR-206" "1" "not on expr" "1" "1" "1" "1" "1"
"310" "hsa-miR-208a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"311" "hsa-miR-208b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"312" "hsa-miR-20a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"313" "hsa-miR-20a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"314" "hsa-miR-20b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"315" "hsa-miR-20b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"316" "hsa-miR-21-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"317" "hsa-miR-21-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"318" "hsa-miR-210-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"319" "hsa-miR-211-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"320" "hsa-miR-211-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"321" "hsa-miR-2110" "?" "not on expr" "?" "?" "1" "?" "?"
"322" "hsa-miR-2113" "?" "not on expr" "?" "?" "1" "?" "?"
"323" "hsa-miR-2114-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"324" "hsa-miR-2114-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"325" "hsa-miR-2115-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"326" "hsa-miR-2115-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"327" "hsa-miR-2116-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"328" "hsa-miR-2116-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"329" "hsa-miR-2117" "?" "not on expr" "?" "?" "1" "?" "?"
"330" "hsa-miR-212-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"331" "hsa-miR-212-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"332" "hsa-miR-214-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"333" "hsa-miR-214-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"334" "hsa-miR-215-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"335" "hsa-miR-216a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"336" "hsa-miR-216a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"337" "hsa-miR-216b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"338" "hsa-miR-217" "1" "not on expr" "1" "1" "1" "1" "1"
"339" "hsa-miR-218-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"340" "hsa-miR-218-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"341" "hsa-miR-218-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"342" "hsa-miR-219a-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"343" "hsa-miR-219a-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"344" "hsa-miR-219a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"345" "hsa-miR-22-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"346" "hsa-miR-22-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"347" "hsa-miR-221-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"348" "hsa-miR-221-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"349" "hsa-miR-222-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"350" "hsa-miR-222-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"351" "hsa-miR-223-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"352" "hsa-miR-223-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"353" "hsa-miR-224-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"354" "hsa-miR-224-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"355" "hsa-miR-2276-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"356" "hsa-miR-2277-3p" "?" "not on expr" "?" "?" "1" "?" "?"
"357" "hsa-miR-2278" "?" "not on expr" "?" "?" "1" "?" "?"
"358" "hsa-miR-2355-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"359" "hsa-miR-2355-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"360" "hsa-miR-23a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"361" "hsa-miR-23a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"362" "hsa-miR-23b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"363" "hsa-miR-23b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"364" "hsa-miR-23c" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"365" "hsa-miR-24-1-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"366" "hsa-miR-24-2-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"367" "hsa-miR-24-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"368" "hsa-miR-2467-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"369" "hsa-miR-2467-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"370" "hsa-miR-25-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"371" "hsa-miR-2681-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"372" "hsa-miR-2682-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"373" "hsa-miR-26a-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"374" "hsa-miR-26a-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"375" "hsa-miR-26a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"376" "hsa-miR-26b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"377" "hsa-miR-26b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"378" "hsa-miR-27a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"379" "hsa-miR-27a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"380" "hsa-miR-27b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"381" "hsa-miR-27b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"382" "hsa-miR-28-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"383" "hsa-miR-28-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"384" "hsa-miR-2861" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"385" "hsa-miR-2909" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"386" "hsa-miR-296-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"387" "hsa-miR-296-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"388" "hsa-miR-297" "1" "not on expr" "1" "1" "1" "?" "1"
"389" "hsa-miR-298" "1" "not on expr" "1" "1" "1" "?" "1"
"390" "hsa-miR-299-3p" "1" "not on expr" "1" "1" "1" "1" "1"
"391" "hsa-miR-299-5p" "1" "not on expr" "1" "1" "1" "1" "1"
"392" "hsa-miR-29a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"393" "hsa-miR-29a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"394" "hsa-miR-29b-1-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"395" "hsa-miR-29b-2-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"396" "hsa-miR-29b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"397" "hsa-miR-29c-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"398" "hsa-miR-300" "1" "not on expr" "1" "1" "1" "?" "1"
"399" "hsa-miR-301a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"400" "hsa-miR-301a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"401" "hsa-miR-301b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"402" "hsa-miR-302a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"403" "hsa-miR-302a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"404" "hsa-miR-302b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"405" "hsa-miR-302b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"406" "hsa-miR-302c-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"407" "hsa-miR-302c-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"408" "hsa-miR-302d-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"409" "hsa-miR-302d-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"410" "hsa-miR-302e" "?" "not on expr" "1" "1" "1" "?" "1"
"411" "hsa-miR-302f" "?" "not on expr" "1" "1" "1" "?" "1"
"412" "hsa-miR-3064-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"413" "hsa-miR-3064-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"414" "hsa-miR-3065-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"415" "hsa-miR-3065-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"416" "hsa-miR-3074-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"417" "hsa-miR-3074-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"418" "hsa-miR-30a-3p" "?" "not on expr" "?" "?" "?" "1" "?"
"419" "hsa-miR-30a-5p" "?" "not on expr" "?" "?" "?" "1" "?"
"420" "hsa-miR-30b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"421" "hsa-miR-30b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"422" "hsa-miR-30c-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"423" "hsa-miR-30c-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"424" "hsa-miR-30c-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"425" "hsa-miR-30d-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"426" "hsa-miR-30d-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"427" "hsa-miR-30e-3p" "?" "not on expr" "?" "?" "?" "1" "?"
"428" "hsa-miR-30e-5p" "?" "not on expr" "?" "?" "?" "1" "?"
"429" "hsa-miR-31-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"430" "hsa-miR-31-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"431" "hsa-miR-3115" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"432" "hsa-miR-3116" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"433" "hsa-miR-3117-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"434" "hsa-miR-3117-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"435" "hsa-miR-3118" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"436" "hsa-miR-3119" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"437" "hsa-miR-3120-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"438" "hsa-miR-3120-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"439" "hsa-miR-3121-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"440" "hsa-miR-3122" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"441" "hsa-miR-3123" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"442" "hsa-miR-3125" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"443" "hsa-miR-3126-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"444" "hsa-miR-3126-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"445" "hsa-miR-3127-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"446" "hsa-miR-3127-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"447" "hsa-miR-3128" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"448" "hsa-miR-3129-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"449" "hsa-miR-3129-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"450" "hsa-miR-3130-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"451" "hsa-miR-3130-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"452" "hsa-miR-3132" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"453" "hsa-miR-3133" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"454" "hsa-miR-3134" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"455" "hsa-miR-3135a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"456" "hsa-miR-3136-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"457" "hsa-miR-3137" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"458" "hsa-miR-3139" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"459" "hsa-miR-3140-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"460" "hsa-miR-3140-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"461" "hsa-miR-3142" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"462" "hsa-miR-3143" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"463" "hsa-miR-3144-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"464" "hsa-miR-3144-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"465" "hsa-miR-3145-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"466" "hsa-miR-3145-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"467" "hsa-miR-3146" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"468" "hsa-miR-3148" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"469" "hsa-miR-3149" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"470" "hsa-miR-3150a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"471" "hsa-miR-3150b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"472" "hsa-miR-3151-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"473" "hsa-miR-3152-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"474" "hsa-miR-3152-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"475" "hsa-miR-3153" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"476" "hsa-miR-3154" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"477" "hsa-miR-3155a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"478" "hsa-miR-3155b" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"479" "hsa-miR-3156-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"480" "hsa-miR-3157-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"481" "hsa-miR-3157-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"482" "hsa-miR-3158-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"483" "hsa-miR-3158-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"484" "hsa-miR-3159" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"485" "hsa-miR-3160-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"486" "hsa-miR-3160-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"487" "hsa-miR-3161" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"488" "hsa-miR-3162-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"489" "hsa-miR-3162-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"490" "hsa-miR-3163" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"491" "hsa-miR-3164" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"492" "hsa-miR-3165" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"493" "hsa-miR-3166" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"494" "hsa-miR-3167" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"495" "hsa-miR-3168" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"496" "hsa-miR-3169" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"497" "hsa-miR-3170" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"498" "hsa-miR-3171" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"499" "hsa-miR-3173-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"500" "hsa-miR-3174" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"501" "hsa-miR-3175" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"502" "hsa-miR-3176" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"503" "hsa-miR-3177-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"504" "hsa-miR-3179" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"505" "hsa-miR-3180" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"506" "hsa-miR-3180-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
